Year,Australia,Chile,China,Switzerland,USA
1991,22.172075,8.16333916667,6.57294666667,6.80489083333,7.55473666667
1992,21.5850583333,8.20896833333,6.36795333333,7.0619925,7.04741916667
1993,21.8030666667,8.43112416667,6.3996625,6.63052416667,7.08242083333
1994,21.729275,8.45469666667,7.01185916667,8.01641166667,7.36058333333
1995,21.6078083333,8.25579416667,6.80004583333,7.08136583333,7.46439583333
1996,21.97745,8.3133725,6.407525,6.1477725,6.72485416667
1997,21.7280083333,8.7146525,6.87646166667,7.26266833333,7.0718675
1998,22.3008416667,8.90008166667,7.497015,7.20241666667,8.116795
1999,21.7344916667,8.44583916667,7.30603083333,6.98389833333,7.27408
2000,21.3402833333,8.00451416667,6.754055,7.79639,7.48606166667
2001,21.4042,8.2353125,7.10397083333,7.244495,7.6505275
2002,22.0964583333,8.085535,7.31975666667,7.91971583333,7.79196083333
2003,22.0925583333,8.50496166667,7.00456416667,8.35201583333,7.72951166667
2004,21.9270083333,8.7288425,7.33515583333,7.1540475,7.69746583333
2005,22.5352083333,8.32112,6.96136,6.91202333333,7.90940916667
2006,21.8875583333,8.59928416667,7.42733083333,7.5267575,7.9897775
2007,22.1203916667,7.89393416667,7.70494083333,8.351625,7.89248833333
2008,21.792125,8.66347166667,7.123865,7.39598583333,7.00691666667
2009,22.23705,8.48059166667,7.25382333333,7.51935666667,7.1650075
2010,21.5738083333,8.11342333333,6.996725,6.4651125,7.5574925
2011,21.3632666667,8.43285166667,6.86400833333,8.10328666667,7.57674833333
2012,21.63525,8.55988416667,6.579595,7.38721416667,8.21714416667
2013,22.6760333333,8.5956575,7.19379833333,6.95822083333,7.3108175
2014,22.4533083333,8.47378,6.9413475,8.1465975,7.72520083333
2015,22.3084166667,8.86447416667,7.48492333333,7.61355333333,8.45888083333
